aspect,total_mentions,mention_rate_pct,positive_pct,negative_pct,avg_sentiment
service,2862,58.4,88.3,3.1,0.674
quality,1816,37.1,90.0,3.9,0.674
wait_time,721,14.7,76.4,8.0,0.576
ambiance,684,14.0,91.5,1.6,0.767
price,377,7.7,81.2,6.1,0.618
location,136,2.8,86.8,4.4,0.718
menu_variety,50,1.0,84.0,4.0,0.712
portion,17,0.3,76.5,17.6,0.786
delivery,13,0.3,76.9,15.4,0.693
